title,link,journal,year,raw_info,level
IEEE Computer Society rewards high school student achievements,https://doi.org/10.1109/mc.2001.933509,Computer,2001,",  - Computer, 2001",2
Taxonomy of Machine Leaning Based Anomaly Detection and its suitability,https://doi.org/10.1016/j.procs.2018.05.133,Procedia Computer Science,2018,",  - Procedia Computer Science, 2018",1
"Student Engagement, Student Interactions and Student Satisfaction in Blended Leaning: A Case of Entrepreneurship Education",https://doi.org/10.1166/asl.2017.9617,Advanced Science Letters,2017,",  - Advanced Science Letters, 2017",1
Reconstruction of Concurrent Lines from Leaning Points,https://doi.org/10.1007/978-3-642-21073-0_18,Lecture Notes in Computer Science,2011,",  - Lecture Notes in Computer Science, 2011",1
Leaning-Based 360° Interfaces: Investigating Virtual Reality Navigation Interfaces with Leaning-Based-Translation and Full-Rotation,https://doi.org/10.1007/978-3-319-57987-0_2,Lecture Notes in Computer Science,2017,",  - Lecture Notes in Computer Science, 2017",1
Evaluating Trust in Multi-Agents System Through Temporal Difference Leaning,https://doi.org/10.1007/978-3-319-43506-0_45,Lecture Notes in Computer Science,2016,",  - Lecture Notes in Computer Science, 2016",1
Deep Leaning based Medicine Packaging Information Recognition for Medication Use in the Elderly,https://doi.org/10.1016/j.procs.2021.04.108,Procedia Computer Science,2021,",  - Procedia Computer Science, 2021",1
Deep Leaning Based Static Indian-Gujarati Sign Language Gesture Recognition,https://doi.org/10.1007/s42979-022-01254-2,SN Computer Science,2022,",  - SN Computer Science, 2022",1
Computer Modelling of the Cardiovascular System Based on Relational Analysis,https://doi.org/10.1016/s1474-6670(17)57622-3,IFAC Proceedings Volumes,1988,",  - IFAC Proceedings Volumes, 1988",1
Application Reality of Knowledge Management Processes Practice in Leaning Resources Centres: Case Study of Learning Resources Centres in Makkah al-Mukarramah Schools in Saudi Arabia,https://doi.org/10.1016/j.procs.2015.09.108,Procedia Computer Science,2015,",  - Procedia Computer Science, 2015",1
A system for compartmental modelling and simulation,https://doi.org/10.1016/0169-2607(91)90068-5,Computer Methods and Programs in Biomedicine,1991,",  - Computer Methods and Programs in Biomedicine, 1991",1
A Generative Probabilistic Model for Leaning Complex Visual Stimuli,https://doi.org/10.1016/j.procs.2016.07.407,Procedia Computer Science,2016,",  - Procedia Computer Science, 2016",1
